Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1981-01-01,9.806,15.45,-0.35,,,62.3,16.6,3.3,0.0,,
1981-01-02,9.971,16.85,-4.15,,,92.2,26.6,5.6,0.0,,
1981-01-03,9.971,13.15,-2.45,,,79.3,24.9,3.6,0.0,,
1981-01-04,9.841,17.15,-4.75,,,87.5,25.5,3.8,0.0,,
1981-01-05,7.491,17.95,0.25,,,79.5,27.7,3.5,0.0,,
1981-01-06,10.23,13.25,-1.95,,,91.1,19.6,3.6,0.0,,
1981-01-07,10.333,16.15,-6.35,,,76.1,22.7,4.2,0.0,,
1981-01-08,9.348,13.15,-5.45,,,79.3,21.1,3.5,0.0,,
1981-01-09,10.498,12.75,-5.55,,,89.1,20.5,4.2,0.0,,
1981-01-10,10.282,11.25,-10.05,,,100.0,21.9,3.4,0.0,,
1981-01-11,10.515,7.45,-8.65,,,100.0,28.5,3.3,0.0,,
1981-01-12,10.904,14.95,-9.45,,,100.0,19.6,4.3,0.0,,
1981-01-13,11.016,18.15,-5.65,,,74.1,11.2,4.8,0.0,,
1981-01-14,10.878,13.45,-5.45,,,67.0,10.6,2.7,0.0,,
1981-01-15,10.74,12.55,-4.65,,,57.7,19.1,2.9,0.0,,
1981-01-16,2.86,4.35,-10.15,,,100.0,22.3,3.9,0.0,,
1981-01-17,10.541,2.45,-11.65,,,100.0,48.9,4.2,0.0,,
1981-01-18,8.061,2.75,-9.95,,,100.0,65.0,5.1,0.8,,
1981-01-19,8.018,4.85,-8.65,,,100.0,64.0,3.6,0.0,,
1981-01-20,11.301,5.75,-8.55,,,100.0,45.4,4.2,0.0,,
1981-01-21,11.923,4.95,-9.55,,,100.0,47.8,3.0,0.0,,
1981-01-22,11.915,7.85,-8.35,,,86.8,34.0,3.3,0.0,,
1981-01-23,12.061,10.45,-4.15,,,63.5,21.5,4.4,0.0,,
1981-01-24,11.569,18.75,-1.75,,,56.7,27.6,4.4,0.0,,
1981-01-25,11.474,15.95,-0.95,,,47.1,11.6,3.0,0.0,,
1981-01-26,12.044,11.45,-4.25,,,62.3,13.0,2.6,0.0,,
1981-01-27,12.105,13.85,-3.95,,,59.5,18.6,2.1,0.0,,
1981-01-28,11.707,17.45,-5.05,,,70.4,20.5,3.3,0.0,,
1981-01-29,12.191,15.75,-4.25,,,73.3,19.6,2.8,0.0,,
1981-01-30,12.381,9.15,-10.65,,,100.0,21.0,4.6,0.0,,
1981-01-31,10.843,11.55,-7.95,,,100.0,16.4,6.2,0.0,,
1981-02-01,8.096,2.45,-7.95,,,88.9,24.9,3.0,0.0,,
1981-02-02,13.34,7.35,-10.95,,,77.4,22.5,3.4,0.0,,
1981-02-03,13.185,11.65,-8.25,,,68.8,18.2,3.3,0.0,,
1981-02-04,12.036,5.95,-9.55,,,75.0,17.6,4.7,0.0,,
1981-02-05,13.668,9.05,-10.85,,,100.0,24.6,3.6,0.0,,
1981-02-06,13.651,15.05,-8.55,,,75.6,23.5,5.0,0.0,,
1981-02-07,13.677,8.85,-5.95,,,74.4,21.3,3.3,0.0,,
1981-02-08,14.1,12.95,-9.95,,,100.0,28.2,4.1,0.0,,
1981-02-09,9.115,7.25,-7.25,,,100.0,24.3,2.9,0.0,,
1981-02-10,10.385,-0.65,-21.05,,,100.0,26.4,6.6,0.0,,
1981-02-11,14.904,0.85,-23.75,,,100.0,33.7,4.5,0.0,,
1981-02-12,14.645,8.55,-12.75,,,100.0,41.6,3.6,0.0,,
1981-02-13,14.774,16.35,-6.95,,,65.4,20.0,4.2,0.0,,
1981-02-14,14.723,19.05,-3.25,,,57.0,18.0,5.3,0.0,,
