Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1981-01-01,3.387,4.75,-4.35,,,89.4,52.7,6.2,0.0,,
1981-01-02,8.519,1.75,-6.35,,,80.5,43.7,4.1,0.0,,
1981-01-03,8.683,2.05,-14.25,,,81.3,42.3,5.8,0.0,,
1981-01-04,9.167,-10.35,-18.05,,,65.6,37.4,3.9,0.0,,
1981-01-05,8.614,-3.65,-16.75,,,76.5,43.0,5.2,0.0,,
1981-01-06,4.536,3.15,-7.85,,,99.0,44.9,6.7,7.1,,
1981-01-07,8.45,-1.95,-13.55,,,87.0,46.4,4.0,0.8,,
1981-01-08,5.27,-4.75,-12.55,,,80.1,48.5,1.8,0.0,,
1981-01-09,6.143,-2.65,-11.55,,,80.6,54.1,3.7,0.0,,
1981-01-10,9.357,-7.05,-18.35,,,78.9,44.7,3.2,0.0,,
1981-01-11,9.815,-7.35,-17.75,,,77.6,47.2,5.3,0.0,,
1981-01-12,7.992,-1.05,-19.65,,,83.9,53.4,5.5,0.0,,
1981-01-13,9.426,0.15,-9.85,,,90.7,59.7,3.5,0.7,,
1981-01-14,5.262,0.05,-10.15,,,91.3,61.8,2.3,0.0,,
1981-01-15,7.586,1.65,-8.45,,,89.3,50.8,4.8,0.0,,
1981-01-16,7.957,-3.95,-12.45,,,81.8,48.1,6.0,0.0,,
1981-01-17,10.031,-3.35,-15.45,,,80.6,53.9,6.1,0.0,,
1981-01-18,10.1,2.65,-9.55,,,84.3,57.8,6.5,0.0,,
1981-01-19,9.21,5.95,-3.35,,,86.6,58.6,4.1,0.0,,
1981-01-20,6.022,5.65,-1.45,,,91.2,59.5,2.4,0.0,,
1981-01-21,10.29,3.05,-7.15,,,94.2,58.9,3.5,0.0,,
1981-01-22,10.195,4.95,-5.15,,,92.3,56.4,4.5,0.0,,
1981-01-23,8.303,4.35,-6.95,,,86.7,51.0,2.8,0.0,,
1981-01-24,10.351,5.75,-2.85,,,81.6,46.8,3.3,0.0,,
1981-01-25,9.366,8.35,0.35,,,90.9,60.3,6.5,0.0,,
1981-01-26,10.308,7.45,1.25,,,85.3,52.6,6.3,0.0,,
1981-01-27,7.776,5.35,-0.55,,,81.0,50.7,4.4,0.0,,
1981-01-28,11.284,2.95,-5.95,,,80.3,42.1,4.6,0.0,,
1981-01-29,11.31,-1.95,-13.35,,,71.6,38.8,4.1,0.0,,
1981-01-30,11.552,-0.95,-11.85,,,75.6,49.4,3.7,0.0,,
