Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1981-01-01,7.214,0.25,-9.35,,,97.1,35.0,6.5,0.0,,
1981-01-02,7.042,-3.35,-15.05,,,85.7,37.5,3.3,0.0,,
1981-01-03,6.843,-7.75,-24.35,,,69.6,25.7,4.7,0.0,,
1981-01-04,7.5,-12.25,-22.25,,,64.2,30.1,2.9,0.0,,
1981-01-05,7.197,-0.45,-19.85,,,58.9,31.5,3.8,0.3,,
1981-01-06,7.137,-1.55,-18.05,,,88.7,35.9,6.1,0.0,,
1981-01-07,2.998,-12.25,-23.25,,,83.2,41.1,2.2,0.0,,
1981-01-08,5.201,-7.75,-18.75,,,86.6,50.0,1.8,0.0,,
1981-01-09,7.024,-9.85,-21.25,,,87.3,42.1,5.1,0.6,,
1981-01-10,2.635,-12.15,-23.35,,,82.5,40.8,2.1,0.0,,
1981-01-11,8.061,-9.25,-25.15,,,83.6,53.9,3.3,0.0,,
1981-01-12,6.67,2.05,-18.05,,,96.1,56.9,3.8,0.0,,
1981-01-13,7.284,1.25,-12.55,,,92.5,43.4,3.3,0.0,,
1981-01-14,5.279,0.35,-11.55,,,91.0,45.1,5.6,0.0,,
1981-01-15,5.314,-3.95,-15.05,,,87.8,35.6,6.1,0.0,,
1981-01-16,6.428,-6.55,-17.25,,,79.1,30.2,4.2,0.0,,
1981-01-17,8.32,4.65,-14.85,,,84.1,33.4,5.2,0.0,,
1981-01-18,8.407,5.45,-10.55,,,78.4,36.3,3.1,0.0,,
1981-01-19,8.303,5.95,-9.35,,,90.8,38.7,2.8,0.0,,
1981-01-20,8.614,1.65,-11.55,,,90.6,34.2,3.6,0.0,,
1981-01-21,8.631,6.35,-12.55,,,90.4,30.4,3.2,0.0,,
1981-01-22,8.726,7.75,-8.95,,,91.3,33.9,2.8,0.0,,
1981-01-23,8.51,10.25,-4.75,,,83.4,32.1,1.7,0.0,,
1981-01-24,8.77,11.55,-4.05,,,77.1,33.8,3.0,0.0,,
1981-01-25,8.545,11.75,-2.85,,,86.6,36.0,4.8,0.0,,
1981-01-26,5.149,4.95,-3.25,,,75.5,37.1,6.8,0.0,,
1981-01-27,9.651,0.85,-13.55,,,87.7,31.2,4.8,0.0,,
1981-01-28,7.093,-6.15,-15.35,,,87.3,32.4,4.5,0.0,,
1981-01-29,9.876,-5.05,-16.05,,,82.9,42.4,2.6,0.0,,
1981-01-30,7.793,-3.05,-17.05,,,96.3,45.5,3.1,2.3,,
1981-01-31,5.262,0.75,-9.35,,,87.4,49.8,3.7,2.3,,
1981-02-01,5.063,-2.15,-18.05,,,82.7,40.2,9.1,0.9,,
1981-02-02,5.21,-13.25,-19.25,,,65.6,33.3,5.8,0.0,,
1981-02-03,6.255,-10.35,-20.95,,,65.3,38.0,4.7,0.0,,
1981-02-04,10.981,-10.05,-21.85,,,65.3,43.4,3.9,0.3,,
1981-02-05,3.335,-3.85,-18.05,,,72.2,47.8,4.1,1.0,,
