Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1981-01-01,8.225,10.15,-5.65,,,100.0,30.1,2.6,0.0,,
1981-01-02,8.32,14.95,-7.75,,,96.8,25.3,3.8,0.0,,
1981-01-03,8.346,8.25,-8.75,,,100.0,22.6,2.4,0.0,,
1981-01-04,7.845,13.05,-5.95,,,90.0,28.0,2.9,0.0,,
1981-01-05,7.914,14.35,-5.75,,,93.7,26.9,3.1,0.0,,
1981-01-06,8.571,8.25,-5.85,,,86.5,25.2,4.6,0.0,,
1981-01-07,8.649,12.65,-8.55,,,89.3,22.2,3.2,0.0,,
1981-01-08,8.649,10.75,-6.05,,,76.8,21.0,2.3,0.0,,
1981-01-09,7.491,4.75,-9.45,,,94.3,23.8,3.0,0.0,,
1981-01-10,8.735,9.75,-11.75,,,100.0,29.3,3.4,0.0,,
1981-01-11,8.942,5.85,-10.55,,,84.1,26.9,2.2,0.0,,
1981-01-12,9.141,13.35,-10.55,,,87.6,18.6,4.3,0.0,,
1981-01-13,8.977,13.85,-5.55,,,44.9,17.4,5.6,0.0,,
1981-01-14,9.046,9.45,-7.85,,,73.4,18.3,3.3,0.0,,
1981-01-15,6.636,7.15,-6.65,,,79.9,25.8,2.9,0.0,,
1981-01-16,4.406,0.75,-14.45,,,100.0,32.4,1.9,4.0,,
1981-01-17,9.444,0.95,-17.05,,,100.0,59.3,2.5,0.0,,
1981-01-18,9.176,6.05,-13.65,,,100.0,53.5,3.4,0.0,,
1981-01-19,9.53,10.85,-7.95,,,100.0,28.7,4.2,0.0,,
1981-01-20,9.444,5.85,-9.35,,,100.0,27.1,3.9,0.0,,
1981-01-21,9.729,10.55,-11.65,,,100.0,24.2,3.8,0.0,,
1981-01-22,9.876,15.35,-7.05,,,81.3,18.5,3.4,0.0,,
1981-01-23,9.884,18.75,-3.85,,,57.8,15.9,3.3,0.0,,
1981-01-24,10.04,19.25,-1.75,,,47.4,13.4,3.0,0.0,,
1981-01-25,10.152,11.95,-4.55,,,72.6,12.9,4.8,0.0,,
1981-01-26,10.083,8.65,-8.45,,,87.3,16.8,3.1,0.0,,
1981-01-27,10.29,10.05,-9.55,,,66.5,20.4,3.0,0.0,,
1981-01-28,7.957,9.75,-8.35,,,82.0,21.6,2.9,3.8,,
1981-01-29,6.437,2.85,-14.25,,,100.0,24.3,4.1,2.5,,
1981-01-30,10.636,-0.05,-16.75,,,100.0,60.2,5.1,0.9,,
1981-01-31,7.508,1.55,-13.65,,,100.0,64.7,5.0,0.6,,
1981-02-01,10.61,-1.15,-14.85,,,100.0,39.2,5.2,0.0,,
1981-02-02,11.586,-0.45,-19.25,,,99.2,41.5,3.1,0.0,,
1981-02-03,11.699,3.15,-14.15,,,100.0,42.8,3.2,0.0,,
1981-02-04,11.275,-0.25,-14.45,,,100.0,38.2,2.3,0.0,,
1981-02-05,12.01,3.15,-15.35,,,100.0,51.7,3.3,0.0,,
1981-02-06,11.958,7.35,-12.85,,,100.0,39.6,3.6,0.0,,
1981-02-07,4.761,0.65,-11.95,,,91.6,32.1,1.7,0.0,,
1981-02-08,9.893,1.45,-16.95,,,100.0,52.3,2.5,0.0,,
1981-02-09,11.111,-2.85,-17.55,,,100.0,52.0,4.5,0.8,,
1981-02-10,9.988,-10.35,-26.75,,,100.0,38.9,5.9,0.0,,
1981-02-11,12.995,-1.95,-27.15,,,100.0,43.5,3.6,0.0,,
1981-02-12,12.804,5.25,-14.55,,,99.2,46.4,3.3,0.0,,
1981-02-13,12.684,12.45,-7.65,,,83.7,31.2,3.3,0.0,,
1981-02-14,12.64,13.95,-4.25,,,68.5,25.8,3.3,0.0,,
1981-02-15,12.442,17.35,-0.35,,,61.4,19.0,3.8,0.0,,
1981-02-16,13.141,19.35,-2.95,,,68.8,18.4,3.7,0.0,,
1981-02-17,12.64,20.75,-0.45,,,73.1,19.5,3.7,0.0,,
1981-02-18,13.504,17.35,-0.55,,,73.5,14.4,3.0,0.0,,
1981-02-19,13.271,22.15,0.25,,,62.2,16.5,3.4,0.0,,
1981-02-20,13.107,24.25,3.05,,,43.4,13.1,4.7,0.0,,
