Date,srad,tmmx,tmmn,Vpar,tdew,rmax,rmin,vs,Rain,ETref,MorP
2025-01-01,2.0326914,3.16111111111111,-4.905555555555555,,-3.5666666666666678,95.9,63.81,1.9937984,0.0,0.508,P
2025-01-02,3.9636435600000004,7.9333333333333345,-0.1999999999999997,,0.9222222222222204,96.1,64.74,4.1217088,0.0,0.7619999999999999,P
2025-01-03,3.46583304,10.455555555555556,0.7722222222222226,,0.3888888888888905,88.5,50.71,3.039872,0.0,1.27,P
2025-01-04,8.00348688,6.716666666666669,0.42777777777777953,,-2.011111111111112,97.5,62.51,11.6498624,0.0,1.778,P
2025-01-05,4.13990784,5.933333333333334,0.12777777777777605,,-1.0111111111111113,87.2,63.86,2.6554176000000003,0.0,0.7619999999999999,P
2025-01-06,2.2106304,2.8611111111111103,-1.5444444444444452,,-0.5499999999999992,95.5,84.3,1.6048736,0.0,0.254,P
2025-01-07,8.55740052,2.116666666666668,-7.466666666666668,,-5.950000000000001,94.1,54.23,1.9356832,0.0,0.508,P
2025-01-08,6.32918556,2.227777777777777,-7.5,,-5.733333333333333,93.0,56.28,2.2217887999999997,0.0,0.508,P
2025-01-09,4.02100272,-0.9722222222222223,-8.205555555555556,,-6.022222222222222,91.2,76.29,2.1815552,0.0,0.254,P
2025-01-10,5.78741364,3.477777777777777,-10.527777777777779,,-6.688888888888889,93.0,53.06,3.2544512,0.0,0.7619999999999999,P
2025-01-11,6.306158160000001,0.699999999999999,-1.938888888888888,,-4.333333333333334,84.6,71.22,11.944908799999999,0.0,1.016,P
2025-01-12,5.78741364,1.4055555555555563,-6.055555555555555,,-5.288888888888889,90.8,62.9,3.4019744000000003,0.0,0.508,P
2025-01-13,5.93185824,0.3999999999999994,-8.150000000000002,,-6.85,92.0,62.49,3.7596064,0.0,0.508,P
2025-01-14,9.25785216,4.288888888888889,-8.255555555555556,,-7.133333333333334,91.5,48.89,1.1712448,0.0,0.508,P
2025-01-15,8.9660322,4.566666666666666,-11.066666666666668,,-7.544444444444443,91.9,52.69,1.00584,0.0,0.508,P
2025-01-16,9.201330360000002,5.7888888888888905,-10.222222222222221,,-6.527777777777778,91.6,50.39,2.2352,0.0,0.7619999999999999,P
2025-01-17,6.65156916,4.200000000000001,-5.83888888888889,,-6.477777777777778,86.8,53.11,7.8947264,0.0,1.5239999999999998,P
2025-01-18,8.15463036,-2.638888888888889,-14.488888888888889,,-10.4,87.6,58.71,3.9250111999999997,0.0,0.508,P
2025-01-19,8.583777360000001,-1.8166666666666664,-14.261111111111113,,-11.783333333333335,86.7,54.7,1.8149823999999999,0.0,0.508,P
2025-01-20,9.77534064,-6.466666666666668,-15.1,,-19.622222222222224,76.7,25.63,1.6048736,0.0,0.508,P
2025-01-21,8.713568160000001,2.233333333333335,-14.683333333333334,,-15.511111111111113,73.72,28.55,4.8101503999999995,0.0,1.5239999999999998,P
2025-01-22,10.113215400000001,0.9277777777777788,-13.083333333333334,,-12.794444444444446,79.17,38.96,4.2737024,0.0,1.016,P
2025-01-23,10.11363408,2.622222222222222,-18.583333333333336,,-14.466666666666667,84.5,32.7,1.9714464,0.0,1.016,P
2025-01-24,7.3763042400000005,4.372222222222221,-8.916666666666668,,-11.566666666666668,77.19,34.21,2.2977855999999997,0.0,1.27,P
2025-01-25,9.79753068,-2.5833333333333326,-9.633333333333333,,-13.916666666666668,73.59,43.23,3.12928,0.0,1.016,P
2025-01-26,10.59553476,-1.9444444444444446,-17.416666666666668,,-15.522222222222224,82.1,40.36,1.966976,0.0,0.7619999999999999,P
2025-01-27,10.32297408,-0.23333333333333428,-20.305555555555554,,-17.366666666666667,82.5,36.47,0.8180832,0.0,0.508,P
2025-01-28,10.7684496,1.616666666666665,-18.35,,-16.02777777777778,82.9,32.63,1.2472416,0.0,0.7619999999999999,P
2025-01-29,10.86014052,4.661111111111111,-17.22222222222222,,-14.205555555555556,83.2,33.28,1.3813536,0.0,1.016,P
2025-01-30,11.29138092,7.738888888888889,-18.155555555555555,,-13.216666666666667,84.3,29.93,0.8985503999999999,0.0,0.7619999999999999,P
2025-01-31,3.5658975600000002,9.922222222222222,-8.533333333333333,,-6.505555555555556,85.1,28.12,3.0622239999999996,0.0,1.5239999999999998,P
2025-02-01,2.61298188,9.761111111111111,1.3277777777777782,,0.11666666666666714,92.4,51.49,4.0323008,0.0,1.5239999999999998,P
2025-02-02,4.9031614800000005,13.399999999999999,0.4888888888888903,,1.6888888888888884,96.7,46.85,4.5463968,0.0,1.778,P
2025-02-03,6.96767256,13.016666666666667,-0.9111111111111114,,0.14444444444444335,96.6,37.7,1.721104,0.0,1.27,P
2025-02-04,5.09156748,12.527777777777777,-0.39444444444444493,,0.47777777777777747,90.3,34.76,1.1533632,0.0,1.016,P
2025-02-05,10.777660560000001,13.65,-4.861111111111112,,-4.63888888888889,87.1,30.65,5.2214272,0.0,2.794,P
2025-02-06,6.81569172,4.138888888888891,-7.3388888888888895,,-6.461111111111111,92.3,39.54,1.765808,0.0,0.7619999999999999,P
2025-02-07,3.62618748,9.322222222222223,-2.0555555555555554,,-3.661111111111111,93.4,46.6,6.1333888000000005,0.0,2.032,P
2025-02-08,9.14564592,0.1111111111111127,-5.955555555555555,,-7.983333333333334,79.5,57.54,3.6031424000000003,0.0,1.016,P
2025-02-09,12.5059716,1.7611111111111122,-7.394444444444444,,-8.255555555555556,84.9,47.99,2.7358848,0.0,1.016,P
2025-02-10,8.954309160000001,-1.0666666666666678,-8.305555555555555,,-9.700000000000001,86.7,52.72,2.4453088,0.0,0.7619999999999999,P
2025-02-11,7.270796880000001,-5.3,-10.511111111111113,,-13.738888888888889,77.03,44.18,5.0426112,0.0,0.7619999999999999,P
2025-02-12,12.09524652,-5.4333333333333345,-17.68888888888889,,-16.677777777777777,82.9,46.95,2.0697951999999997,0.0,0.7619999999999999,P
2025-02-13,3.05133984,1.1666666666666674,-15.46111111111111,,-11.3,92.3,71.17,2.2709632,0.0,0.7619999999999999,P
2025-02-14,6.427994040000001,5.655555555555556,-1.938888888888888,,-0.6055555555555555,93.6,66.05,3.6254943999999996,0.0,1.016,P
2025-02-15,14.29540992,1.6277777777777778,-3.4500000000000006,,-5.466666666666667,90.1,58.22,10.3445056,0.0,1.27,P
2025-02-16,5.721262200000001,3.2944444444444443,-2.216666666666666,,-2.127777777777777,97.2,68.31,2.3559007999999997,0.0,0.7619999999999999,P
2025-02-17,7.663937400000001,3.861111111111113,0.2611111111111105,,-0.7055555555555554,88.9,73.08,7.219695999999999,0.0,1.016,P
2025-02-18,14.29917804,4.61111111111111,-0.43888888888888844,,-1.7555555555555558,86.3,67.53,7.1079360000000005,0.0,1.27,P
2025-02-19,5.892921,3.6388888888888875,-3.6166666666666676,,-2.272222222222222,96.2,71.01,2.0966176,0.0,0.7619999999999999,P
2025-02-20,11.809706760000001,3.0833333333333317,-0.8777777777777769,,-2.0222222222222226,96.7,61.08,7.9483712,0.0,1.27,P
2025-02-21,14.885748720000002,3.6888888888888896,-5.894444444444445,,-4.911111111111111,91.7,59.68,1.8418048,0.0,1.016,P
2025-02-22,12.041655480000001,5.738888888888888,-6.244444444444444,,-3.761111111111111,92.3,57.75,2.12344,0.0,1.016,P
2025-02-23,4.37018184,8.355555555555556,-1.6277777777777778,,0.0944444444444454,89.7,75.95,2.1592032,0.0,1.016,P
2025-02-24,12.06133344,15.950000000000001,3.8333333333333326,,2.866666666666665,86.8,24.0,3.4109152,0.0,2.54,P
2025-02-25,12.987034920000001,14.500000000000002,0.9666666666666678,,-3.644444444444444,86.9,20.13,4.8816768,0.0,3.302,P
2025-02-26,15.672029760000001,8.75,-2.383333333333333,,-4.611111111111112,88.1,36.34,2.2486112,0.0,1.778,P
2025-02-27,15.90523452,10.2,-4.366666666666666,,-2.983333333333334,91.5,46.03,2.2217887999999997,0.0,1.778,P
2025-02-28,16.108713,12.11111111111111,-4.733333333333333,,-2.294444444444444,93.2,37.11,0.9030208,0.0,1.5239999999999998,P
2025-03-01,16.435283400000003,12.911111111111113,-4.73888888888889,,-1.938888888888888,94.1,42.59,0.8583168,0.0,1.5239999999999998,P
2025-03-02,14.427712800000002,14.905555555555555,-4.299999999999999,,-1.5333333333333343,92.8,37.11,2.4408384,0.0,2.2859999999999996,P
2025-03-03,7.014983400000001,7.188888888888888,-0.7277777777777771,,0.43333333333333396,94.5,68.25,5.677408,0.0,1.27,P
2025-03-04,10.20909312,8.116666666666667,1.7944444444444427,,-0.9833333333333332,84.9,50.95,5.6282336,0.0,2.032,P
2025-03-05,10.4209452,9.333333333333332,-1.1333333333333329,,-0.4944444444444448,93.1,47.6,2.3067264,0.0,1.5239999999999998,P
2025-03-06,3.4855110000000002,2.755555555555556,-0.9111111111111114,,-0.005555555555556424,96.4,83.9,3.4243264,0.0,0.508,P
2025-03-07,16.20668412,5.511111111111112,-1.3666666666666671,,-3.1333333333333337,83.6,56.05,6.1155072,0.0,1.778,P
2025-03-08,17.40745836,10.0,-3.6166666666666676,,-4.061111111111111,88.3,39.84,1.8641568,0.0,2.032,P
2025-03-09,17.5029174,14.461111111111112,-2.983333333333334,,-1.7611111111111122,89.8,36.85,3.57632,0.0,2.794,P
2025-03-10,17.325397080000002,15.477777777777778,-0.39444444444444493,,-2.0833333333333335,81.6,28.24,2.4408384,0.0,2.794,P
