Date,srad,tmmx,tmmn,vpar,tdew,rmax,rmin,vs,pr,ET,MorP
1979-01-01,9.763,-12.05,-21.75,,,69.3,50.0,2.1,0.0,,
1979-01-02,4.7,-8.05,-19.15,,,72.8,50.2,1.8,0.0,,
1979-01-03,3.516,-5.55,-12.35,,,80.6,57.1,1.8,0.9,,
1979-01-04,5.72,-1.75,-10.65,,,79.1,61.4,1.0,0.8,,
1979-01-05,7.551,-3.55,-14.75,,,83.0,54.2,2.3,0.0,,
1979-01-06,7.646,-9.75,-20.05,,,77.0,36.6,1.5,0.0,,
1979-01-07,7.819,-10.65,-21.95,,,68.7,38.5,3.4,0.0,,
1979-01-08,5.547,-9.05,-21.05,,,71.8,50.2,3.2,0.0,,
1979-01-09,4.977,-3.75,-12.35,,,94.7,58.1,2.2,6.4,,
1979-01-10,4.216,1.45,-9.95,,,96.0,63.6,2.1,17.8,,
1979-01-11,3.024,2.85,-1.05,,,100.0,68.0,2.3,11.9,,
1979-01-12,6.653,2.85,-4.75,,,100.0,60.0,5.5,1.3,,
1979-01-13,7.43,-0.25,-9.85,,,78.6,54.2,3.0,1.1,,
1979-01-14,6.229,-0.45,-9.15,,,82.7,53.6,4.2,2.2,,
1979-01-15,5.962,1.45,-5.15,,,100.0,63.9,1.9,2.0,,
1979-01-16,7.655,1.25,-8.05,,,99.2,63.9,3.4,0.8,,
1979-01-17,8.009,-3.55,-11.85,,,82.9,47.8,2.2,0.7,,
1979-01-18,4.571,-2.75,-8.95,,,96.2,64.2,1.9,1.6,,
1979-01-19,7.646,-3.45,-13.75,,,86.0,59.1,3.6,0.0,,
1979-01-20,6.653,0.25,-9.85,,,86.9,64.7,2.0,0.0,,
1979-01-21,8.061,-0.75,-10.15,,,84.1,59.6,2.1,0.0,,
1979-01-22,8.882,-3.35,-12.95,,,86.2,56.9,4.3,0.0,,
1979-01-23,8.813,-5.55,-14.05,,,79.5,43.7,2.5,0.0,,
1979-01-24,7.042,-3.75,-14.35,,,76.6,57.7,1.9,0.7,,
1979-01-25,7.638,-2.45,-10.45,,,86.4,61.9,1.6,1.5,,
1979-01-26,9.202,-5.55,-16.35,,,82.2,59.1,3.8,0.3,,
1979-01-27,7.119,-5.45,-17.35,,,80.9,41.2,1.8,0.0,,
1979-01-28,7.275,-6.45,-14.05,,,84.4,53.1,0.6,0.3,,
1979-01-29,8.329,-8.15,-16.05,,,76.9,41.0,1.2,0.0,,
1979-01-30,9.564,-9.75,-21.05,,,75.3,42.8,3.4,0.0,,
1979-01-31,8.165,-9.75,-22.05,,,75.8,42.6,3.2,1.4,,
1979-02-01,8.459,-5.75,-15.75,,,94.5,71.1,1.2,0.8,,
1979-02-02,10.212,-6.25,-14.45,,,95.9,62.9,3.0,0.0,,
1979-02-03,7.413,-6.75,-16.55,,,91.3,42.6,2.5,0.8,,
1979-02-04,7.836,-2.95,-11.05,,,94.3,67.6,2.0,0.7,,
1979-02-05,8.873,0.25,-10.15,,,97.1,61.8,3.3,0.0,,
1979-02-06,7.111,1.05,-5.05,,,92.9,72.6,4.2,0.0,,
1979-02-07,7.629,2.75,-3.35,,,95.1,66.6,5.4,0.0,,
1979-02-08,9.167,2.05,-2.25,,,90.5,65.6,2.4,0.0,,
1979-02-09,8.268,2.65,-2.95,,,83.2,57.5,2.0,0.0,,
1979-02-10,9.4,4.65,-3.35,,,78.1,54.2,2.3,0.0,,
1979-02-11,8.502,6.95,0.65,,,76.5,53.4,2.2,0.0,,
1979-02-12,9.141,9.75,0.65,,,75.6,44.5,2.4,0.0,,
1979-02-13,6.489,10.25,2.05,,,83.4,45.4,2.4,0.6,,
1979-02-14,7.741,10.45,1.65,,,100.0,51.2,4.3,3.2,,
1979-02-15,8.199,5.35,-1.15,,,81.9,36.6,2.3,0.0,,
1979-02-16,9.893,7.95,-2.45,,,72.0,42.6,3.8,0.0,,
1979-02-17,11.897,6.85,-0.85,,,73.6,35.2,3.0,0.0,,
1979-02-18,10.498,10.55,-0.55,,,71.9,32.3,2.4,0.0,,
1979-02-19,10.636,8.75,0.55,,,85.4,30.7,4.2,0.8,,
1979-02-20,11.327,7.05,-0.85,,,85.2,32.6,2.6,0.4,,
1979-02-21,9.685,7.75,-0.45,,,100.0,34.8,1.8,3.9,,
1979-02-22,10.247,5.65,-0.55,,,92.1,40.6,2.6,0.6,,
1979-02-23,9.858,5.85,-1.75,,,91.9,35.7,3.6,0.0,,
1979-02-24,9.444,7.05,-1.85,,,67.3,36.6,2.3,0.0,,
1979-02-25,12.061,10.35,-1.25,,,70.3,37.6,3.8,0.0,,
1979-02-26,9.711,10.05,0.35,,,73.1,35.5,4.0,0.0,,
1979-02-27,13.504,8.15,-1.65,,,84.5,34.8,4.3,0.0,,
1979-02-28,8.891,8.95,-1.55,,,67.4,35.9,3.0,1.2,,
1979-03-01,9.469,6.35,-3.15,,,100.0,45.9,4.4,2.8,,
1979-03-02,15.517,1.55,-8.95,,,100.0,60.2,5.0,0.0,,
1979-03-03,13.409,1.75,-9.65,,,100.0,59.8,1.8,0.0,,
1979-03-04,14.835,4.95,-4.35,,,100.0,71.6,1.5,0.0,,
1979-03-05,11.042,5.35,-3.35,,,100.0,69.4,2.4,0.0,,
1979-03-06,15.25,14.45,-0.85,,,100.0,72.3,3.2,0.0,,
1979-03-07,13.781,14.45,2.25,,,100.0,58.1,3.9,0.0,,
1979-03-08,16.675,8.25,-2.35,,,100.0,40.5,4.4,0.0,,
1979-03-09,16.908,6.85,-3.75,,,91.2,37.9,2.2,0.0,,
1979-03-10,16.995,9.35,-5.55,,,92.6,43.1,3.4,0.0,,
1979-03-11,17.021,11.85,-3.25,,,89.4,44.8,2.0,0.0,,
1979-03-12,16.96,14.95,0.35,,,87.6,46.0,2.4,0.0,,
1979-03-13,17.539,13.35,-0.25,,,79.5,34.2,3.2,0.0,,
1979-03-14,17.755,14.25,-2.35,,,93.1,34.0,4.1,0.0,,
1979-03-15,17.237,16.45,-0.45,,,80.4,36.8,4.4,3.8,,
1979-03-16,12.182,10.85,1.65,,,100.0,31.5,3.8,10.5,,
1979-03-17,14.714,9.75,-0.35,,,100.0,50.5,4.6,0.9,,
1979-03-18,15.889,9.95,-1.75,,,100.0,44.1,1.8,0.0,,
1979-03-19,12.087,9.75,-0.05,,,100.0,39.2,3.2,1.3,,
1979-03-20,18.49,11.15,-1.65,,,100.0,42.1,3.2,2.3,,
1979-03-21,18.101,11.15,-1.15,,,96.2,40.7,2.3,0.0,,
1979-03-22,18.308,12.55,0.35,,,85.3,36.0,1.5,0.0,,
1979-03-23,19.12,13.35,0.85,,,78.7,32.2,2.1,0.0,,
1979-03-24,19.302,15.05,-1.55,,,86.0,33.3,4.6,0.0,,
1979-03-25,18.239,13.35,0.55,,,81.3,29.6,5.2,0.5,,
1979-03-26,15.051,14.95,0.65,,,74.6,32.9,2.5,1.5,,
1979-03-27,15.362,17.25,4.75,,,85.2,32.9,4.1,1.3,,
1979-03-28,18.196,14.55,2.45,,,90.1,24.3,2.8,0.4,,
1979-03-29,11.897,10.05,1.15,,,91.4,25.3,6.0,0.0,,
1979-03-30,14.265,8.85,0.55,,,80.6,35.4,5.1,0.0,,
1979-03-31,13.202,6.15,-3.55,,,82.9,32.1,7.0,0.0,,
1979-04-01,15.949,5.85,-4.95,,,98.8,37.1,6.0,0.7,,
1979-04-02,16.528,6.75,-6.75,,,100.0,40.6,5.0,0.0,,
1979-04-03,15.008,6.75,-5.65,,,100.0,35.9,5.7,0.0,,
1979-04-04,12.684,11.75,-1.35,,,96.6,41.9,5.9,0.0,,
1979-04-05,21.859,19.35,1.15,,,98.0,32.9,2.2,0.0,,
1979-04-06,19.319,20.45,4.05,,,75.6,21.6,5.1,0.3,,
1979-04-07,19.397,14.35,1.35,,,100.0,20.0,4.7,0.0,,
1979-04-08,22.689,18.75,-0.05,,,87.4,28.0,2.0,0.0,,
1979-04-09,14.576,13.45,0.55,,,83.5,24.6,7.0,0.0,,
1979-04-10,14.705,7.05,-5.15,,,100.0,30.8,8.1,0.0,,
1979-04-11,13.815,7.55,-6.25,,,100.0,39.3,5.2,0.0,,
1979-04-12,19.889,10.65,-4.45,,,100.0,36.9,4.8,0.0,,
1979-04-13,16.952,13.75,3.15,,,91.7,36.4,5.6,0.0,,
1979-04-14,23.069,17.85,0.35,,,72.6,26.3,2.2,0.0,,
1979-04-15,22.283,19.45,5.35,,,74.2,26.1,3.5,0.0,,
1979-04-16,22.231,23.75,6.55,,,71.1,20.3,2.7,0.6,,
1979-04-17,20.961,17.35,6.15,,,80.2,17.6,4.9,0.4,,
1979-04-18,10.86,10.65,0.15,,,97.4,25.0,6.0,0.0,,
1979-04-19,23.812,11.05,-3.45,,,100.0,27.2,3.4,0.0,,
1979-04-20,23.648,16.85,-2.05,,,73.1,23.0,2.4,0.0,,
1979-04-21,16.753,17.75,2.35,,,61.4,19.9,1.8,0.0,,
1979-04-22,15.854,20.35,5.55,,,66.3,22.7,2.7,0.0,,
1979-04-23,16.252,15.35,2.45,,,100.0,21.9,3.7,2.0,,
1979-04-24,16.649,14.15,1.05,,,92.1,30.2,3.8,1.0,,
1979-04-25,24.14,15.95,-1.45,,,100.0,29.5,2.9,0.0,,
1979-04-26,25.289,19.25,1.95,,,71.2,25.7,1.1,0.0,,
1979-04-27,18.438,19.25,6.15,,,48.3,23.7,1.6,1.8,,
1979-04-28,21.306,19.95,5.65,,,100.0,32.0,1.9,0.6,,
